frame,time,id,cls,conf,x1,y1,x2,y2,cx,cy,lane,speed_kmh
0,0.00,1,camping car,0.37,1612.3,331.4,1767.9,381.1,1690.1,356.3,4,0.0
7,0.23,6,car,0.55,0.2,683.1,52.7,738.0,26.5,710.6,9,0.0
8,0.27,6,car,0.64,0.0,683.4,62.8,736.4,31.4,709.9,9,29.4
9,0.30,6,car,0.61,0.0,682.8,76.2,735.5,38.1,709.2,9,34.6
10,0.33,6,car,0.71,0.0,678.8,90.2,735.7,45.1,707.2,9,37.2
11,0.37,6,car,0.72,0.0,678.4,102.6,736.6,51.3,707.5,9,36.9
12,0.40,6,van,0.36,0.0,679.2,115.4,738.6,57.7,708.9,9,36.9
13,0.43,6,car,0.43,0.0,677.7,127.8,744.5,63.9,711.1,9,36.8
14,0.47,6,car,0.35,0.3,678.6,139.9,746.0,70.1,712.3,9,36.8
30,1.00,10,car,0.52,153.8,674.7,337.7,716.5,245.7,695.6,8,0.0
31,1.03,10,car,0.39,166.7,675.4,348.5,716.2,257.6,695.8,8,69.8
32,1.07,10,car,0.57,181.4,674.3,362.8,718.0,272.1,696.2,9,77.8
33,1.10,10,car,0.39,190.2,674.7,374.2,720.3,282.2,697.5,9,71.7
34,1.13,10,car,0.50,205.2,675.0,386.1,720.0,295.7,697.5,9,73.7
36,1.20,10,car,0.41,229.3,675.8,411.1,721.3,320.2,698.5,9,73.3
38,1.27,10,car,0.31,255.8,675.6,428.7,719.1,342.2,697.4,9,71.2
39,1.30,10,car,0.46,268.9,675.6,448.8,719.2,358.8,697.4,9,74.1
41,1.37,10,car,0.53,296.7,676.1,479.6,719.1,388.1,697.6,9,76.4
42,1.40,10,car,0.46,307.6,673.6,493.2,718.4,400.4,696.0,9,76.0
43,1.44,10,car,0.43,323.7,674.4,507.2,717.7,415.4,696.1,9,77.0
44,1.47,10,car,0.47,336.2,675.3,518.8,718.6,427.5,696.9,9,76.6
