frame,time_s,id,cls,conf,x1,y1,x2,y2,cx,cy,lane,speed_kmh
0,0,1,camping car,0.37,1612.3,331.4,1767.9,381.1,1690.1,356.3,4,0
1,0.03,1,car,0.3,1599.4,332.3,1754.4,381.5,1676.9,356.9,4,78.2
2,0.07,1,camping car,0.31,1583.7,326.1,1744.3,384.1,1664,355.1,4,77.1
3,0.1,1,camping car,0.18,1568.1,327.4,1730.3,384.1,1649.2,355.8,4,80.4
4,0.13,1,van,0.31,1555.7,328.1,1714.9,382.4,1635.3,355.2,4,80.9
5,0.17,1,van,0.35,1543.4,331,1700.1,379.7,1621.8,355.3,4,80.7
6,0.2,1,camping car,0.29,1532.3,326.3,1689.2,380.9,1610.8,353.6,4,78.1
7,0.23,1,van,0.25,1521.5,321.5,1678.8,380.4,1600.1,351,4,76
8,0.27,1,van,0.12,1513.6,321.7,1664.8,377.5,1589.2,349.6,4,74.6
9,0.3,1,van,0.11,1502.4,321.2,1653.9,376.7,1578.2,348.9,4,73.5
10,0.33,1,camping car,0.13,1494.9,321.9,1640.3,377.3,1567.6,349.6,4,72.4
11,0.37,1,van,0.11,1478.6,322.5,1629.9,375.9,1554.2,349.2,4,73
12,0.4,1,car,0.11,1466,325.5,1615.7,372.1,1540.8,348.8,4,73.5
15,0.5,1,car,0.38,1426.5,323.8,1576.3,373.4,1501.4,348.6,4,74.3
16,0.53,1,car,0.2,1420.4,321.4,1562.6,370.2,1491.5,345.8,3,73
17,0.57,1,camping car,0.13,1405.1,320.1,1549.6,371.3,1477.3,345.7,3,73.5
31,1.03,1,car,0.28,1230,311.8,1372.9,361.6,1301.4,336.7,3,73.4
32,1.07,1,car,0.12,1215.8,313.7,1359.3,360.3,1287.6,337,3,73.4
